group,subgroup,caresettingprincipal,codecat,codetype,code,t1_index,t2_index,t2_fup,t3_index,t3_fup,t4_index,t4_fup,rawlabdatetype,rawlabresult,codesupply
pregnant,delivery,'IP*',DX,09,65901,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65911,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65921,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65931,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65941,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65951,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65961,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65971,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65981,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65991,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66001,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66011,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66021,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66031,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66041,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66051,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66061,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66071,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66081,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66091,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66101,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66111,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66121,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66131,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66141,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66191,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66201,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66211,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66221,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66231,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66301,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66311,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66321,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66331,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66341,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66351,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66361,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66381,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,66391,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
